data_id,device_id,power_usage,time_id
1,1,1.9819970065671146,1
2,2,0.0,1
3,3,0.0,1
4,4,0.15693755230885434,1
5,5,0.12976737155928458,1
6,6,0.4502465740331,1
7,7,0.0,1
8,8,0.44537818902719606,1
9,9,0.6775437433886158,1
10,10,0.0,1
11,11,0.46665051279119163,1
12,12,0.0,1
13,13,0.0,1
14,14,0.24527591686900654,1
15,15,-0.0917173949330819,1
16,1,0.0,2
17,2,0.0,2
18,3,0.0,2
19,4,0.277521665898791,2
20,5,0.16597636404530838,2
21,6,0.7463919957293501,2
22,7,0.0,2
23,8,0.34152113225759023,2
24,9,0.9060896021247071,2
25,10,2.453730014440898,2
26,11,0.21965211825249775,2
27,12,0.0,2
28,13,1.233787098783008,2
29,14,0.2328974615968955,2
30,15,-0.8900466011060912,2
31,1,0.0,3
32,2,2.1826134532805765,3
33,3,1.8721809218929364,3
34,4,0.1735701389214917,3
35,5,0.11369822223095279,3
36,6,0.6542581670183576,3
37,7,0.0,3
38,8,0.3334459563910726,3
39,9,0.3925003647189024,3
40,10,0.0,3
41,11,0.35065003795056493,3
42,12,1.2,3
43,13,0.0,3
44,14,0.19070312855170268,3
45,15,-0.22962444598293358,3
46,1,1.9819970065671146,4
47,2,1.9561857742020543,4
48,3,0.0,4
49,4,0.12856482209737652,4
50,5,0.16868664937349098,4
51,6,0.8020534617072941,4
52,7,0.0,4
53,8,0.2151753251743742,4
54,9,0.7168353046659711,4
55,10,0.0,4
56,11,0.4285317801400974,4
57,12,0.0,4
58,13,0.0,4
59,14,0.3959916159440917,4
60,15,-0.35403628889802274,4
61,1,0.0,5
62,2,1.9527000837917328,5
63,3,1.1593685627043406,5
64,4,0.23917631487369698,5
65,5,0.1913299711600034,5
66,6,0.8830521538750404,5
67,7,0.0,5
68,8,0.25878416236152463,5
69,9,0.6145401367512751,5
70,10,0.0,5
71,11,0.30472255897544964,5
72,12,0.0,5
73,13,1.233787098783008,5
74,14,0.18159619689501444,5
75,15,-0.8324426408004217,5
76,1,0.0,6
77,2,0.0,6
78,3,2.0352566059064983,6
79,4,0.13291562894270056,6
80,5,0.16085831546399085,6
81,6,0.8199050480304921,6
82,7,0.0,6
83,8,0.5668312795461915,6
84,9,0.5956044789850821,6
85,10,0.0,6
86,11,0.3871918136081539,6
87,12,0.0,6
88,13,0.0,6
89,14,0.2470120619321686,6
90,15,-0.49610577964560876,6
91,1,1.9819970065671146,7
92,2,0.0,7
93,3,0.0,7
