device_id,name,time_id,power_usage
1,Dishwasher,1,1.9819970065671144
2,Primary Furnace,1,0.0
3,Secondary Furnace,1,0.0
4,Home Office Electronics,1,0.1569375523088543
5,Refrigerator,1,0.1297673715592845
6,Wine Cellar Cooling,1,0.4502465740331
7,Garage Door Motor,1,0.0
8,Kitchen Outlet Circuit 1,1,0.445378189027196
9,Kitchen Outlet Circuit 2,1,0.6775437433886158
10,Kitchen Major Appliances,1,0.0
11,Barn Electronics,1,0.4666505127911916
12,Water Well Pump,1,0.0
13,Microwave Oven,1,0.0
14,Living Room Electronics,1,0.2452759168690065
15,Solar Panel System,1,-0.0917173949330819
1,Dishwasher,2,0.0
2,Primary Furnace,2,0.0
3,Secondary Furnace,2,0.0
4,Home Office Electronics,2,0.277521665898791
5,Refrigerator,2,0.1659763640453083
6,Wine Cellar Cooling,2,0.7463919957293501
7,Garage Door Motor,2,0.0
8,Kitchen Outlet Circuit 1,2,0.3415211322575902
9,Kitchen Outlet Circuit 2,2,0.9060896021247072
10,Kitchen Major Appliances,2,2.453730014440898
11,Barn Electronics,2,0.2196521182524977
12,Water Well Pump,2,0.0
13,Microwave Oven,2,1.233787098783008
14,Living Room Electronics,2,0.2328974615968955
15,Solar Panel System,2,-0.8900466011060912
1,Dishwasher,3,0.0
2,Primary Furnace,3,2.1826134532805765
3,Secondary Furnace,3,1.8721809218929364
4,Home Office Electronics,3,0.1735701389214917
5,Refrigerator,3,0.1136982222309527
6,Wine Cellar Cooling,3,0.6542581670183576
7,Garage Door Motor,3,0.0
8,Kitchen Outlet Circuit 1,3,0.3334459563910726
9,Kitchen Outlet Circuit 2,3,0.3925003647189024
10,Kitchen Major Appliances,3,0.0
11,Barn Electronics,3,0.3506500379505649
12,Water Well Pump,3,1.2
13,Microwave Oven,3,0.0
14,Living Room Electronics,3,0.1907031285517026
15,Solar Panel System,3,-0.2296244459829335
1,Dishwasher,4,1.9819970065671144
2,Primary Furnace,4,1.9561857742020543
3,Secondary Furnace,4,0.0
4,Home Office Electronics,4,0.1285648220973765
5,Refrigerator,4,0.1686866493734909
6,Wine Cellar Cooling,4,0.8020534617072941
7,Garage Door Motor,4,0.0
8,Kitchen Outlet Circuit 1,4,0.2151753251743742
9,Kitchen Outlet Circuit 2,4,0.7168353046659711
10,Kitchen Major Appliances,4,0.0
11,Barn Electronics,4,0.4285317801400974
12,Water Well Pump,4,0.0
13,Microwave Oven,4,0.0
14,Living Room Electronics,4,0.3959916159440917
15,Solar Panel System,4,-0.3540362888980227
1,Dishwasher,5,0.0
2,Primary Furnace,5,1.9527000837917328
3,Secondary Furnace,5,1.1593685627043406
4,Home Office Electronics,5,0.2391763148736969
5,Refrigerator,5,0.1913299711600034
6,Wine Cellar Cooling,5,0.8830521538750404
7,Garage Door Motor,5,0.0
8,Kitchen Outlet Circuit 1,5,0.2587841623615246
9,Kitchen Outlet Circuit 2,5,0.6145401367512751
10,Kitchen Major Appliances,5,0.0
11,Barn Electronics,5,0.3047225589754496
12,Water Well Pump,5,0.0
13,Microwave Oven,5,1.233787098783008
14,Living Room Electronics,5,0.1815961968950144
15,Solar Panel System,5,-0.8324426408004217
1,Dishwasher,6,0.0
2,Primary Furnace,6,0.0
