device_id,room_id,power_usage,solar_generation,room_name,timestamp
1,1,1.9819970065671144,-0.0917173949330819,Kitchen,1747924084
2,5,0.0,-0.0917173949330819,Basement,1747924084
3,5,0.0,-0.0917173949330819,Basement,1747924084
4,3,0.1569375523088543,-0.0917173949330819,Home Office,1747924084
5,1,0.1297673715592845,-0.0917173949330819,Kitchen,1747924084
6,6,0.4502465740331,-0.0917173949330819,Wine Cellar,1747924084
7,4,0.0,-0.0917173949330819,Garage,1747924084
8,1,0.445378189027196,-0.0917173949330819,Kitchen,1747924084
9,1,0.6775437433886158,-0.0917173949330819,Kitchen,1747924084
10,1,0.0,-0.0917173949330819,Kitchen,1747924084
11,8,0.4666505127911916,-0.0917173949330819,Barn,1747924084
12,7,0.0,-0.0917173949330819,Utility,1747924084
13,1,0.0,-0.0917173949330819,Kitchen,1747924084
14,2,0.2452759168690065,-0.0917173949330819,Living Room,1747924084
15,9,-0.0917173949330819,-0.0917173949330819,Roof,1747924084
1,1,0.0,-0.8900466011060912,Kitchen,1747927684
2,5,0.0,-0.8900466011060912,Basement,1747927684
3,5,0.0,-0.8900466011060912,Basement,1747927684
4,3,0.277521665898791,-0.8900466011060912,Home Office,1747927684
5,1,0.1659763640453083,-0.8900466011060912,Kitchen,1747927684
6,6,0.7463919957293501,-0.8900466011060912,Wine Cellar,1747927684
7,4,0.0,-0.8900466011060912,Garage,1747927684
8,1,0.3415211322575902,-0.8900466011060912,Kitchen,1747927684
9,1,0.9060896021247072,-0.8900466011060912,Kitchen,1747927684
10,1,2.453730014440898,-0.8900466011060912,Kitchen,1747927684
11,8,0.2196521182524977,-0.8900466011060912,Barn,1747927684
12,7,0.0,-0.8900466011060912,Utility,1747927684
13,1,1.233787098783008,-0.8900466011060912,Kitchen,1747927684
14,2,0.2328974615968955,-0.8900466011060912,Living Room,1747927684
15,9,-0.8900466011060912,-0.8900466011060912,Roof,1747927684
1,1,0.0,-0.2296244459829335,Kitchen,1747931284
2,5,2.1826134532805765,-0.2296244459829335,Basement,1747931284
3,5,1.8721809218929364,-0.2296244459829335,Basement,1747931284
4,3,0.1735701389214917,-0.2296244459829335,Home Office,1747931284
5,1,0.1136982222309527,-0.2296244459829335,Kitchen,1747931284
6,6,0.6542581670183576,-0.2296244459829335,Wine Cellar,1747931284
7,4,0.0,-0.2296244459829335,Garage,1747931284
8,1,0.3334459563910726,-0.2296244459829335,Kitchen,1747931284
9,1,0.3925003647189024,-0.2296244459829335,Kitchen,1747931284
10,1,0.0,-0.2296244459829335,Kitchen,1747931284
11,8,0.3506500379505649,-0.2296244459829335,Barn,1747931284
12,7,1.2,-0.2296244459829335,Utility,1747931284
13,1,0.0,-0.2296244459829335,Kitchen,1747931284
14,2,0.1907031285517026,-0.2296244459829335,Living Room,1747931284
15,9,-0.2296244459829335,-0.2296244459829335,Roof,1747931284
1,1,1.9819970065671144,-0.3540362888980227,Kitchen,1747934884
2,5,1.9561857742020543,-0.3540362888980227,Basement,1747934884
3,5,0.0,-0.3540362888980227,Basement,1747934884
4,3,0.1285648220973765,-0.3540362888980227,Home Office,1747934884
5,1,0.1686866493734909,-0.3540362888980227,Kitchen,1747934884
6,6,0.8020534617072941,-0.3540362888980227,Wine Cellar,1747934884
7,4,0.0,-0.3540362888980227,Garage,1747934884
8,1,0.2151753251743742,-0.3540362888980227,Kitchen,1747934884
9,1,0.7168353046659711,-0.3540362888980227,Kitchen,1747934884
10,1,0.0,-0.3540362888980227,Kitchen,1747934884
11,8,0.4285317801400974,-0.3540362888980227,Barn,1747934884
12,7,0.0,-0.3540362888980227,Utility,1747934884
13,1,0.0,-0.3540362888980227,Kitchen,1747934884
14,2,0.3959916159440917,-0.3540362888980227,Living Room,1747934884
15,9,-0.3540362888980227,-0.3540362888980227,Roof,1747934884
1,1,0.0,-0.8324426408004217,Kitchen,1747938484
2,5,1.9527000837917328,-0.8324426408004217,Basement,1747938484
3,5,1.1593685627043406,-0.8324426408004217,Basement,1747938484
4,3,0.2391763148736969,-0.8324426408004217,Home Office,1747938484
5,1,0.1913299711600034,-0.8324426408004217,Kitchen,1747938484
6,6,0.8830521538750404,-0.8324426408004217,Wine Cellar,1747938484
7,4,0.0,-0.8324426408004217,Garage,1747938484
8,1,0.2587841623615246,-0.8324426408004217,Kitchen,1747938484
9,1,0.6145401367512751,-0.8324426408004217,Kitchen,1747938484
10,1,0.0,-0.8324426408004217,Kitchen,1747938484
11,8,0.3047225589754496,-0.8324426408004217,Barn,1747938484
12,7,0.0,-0.8324426408004217,Utility,1747938484
13,1,1.233787098783008,-0.8324426408004217,Kitchen,1747938484
14,2,0.1815961968950144,-0.8324426408004217,Living Room,1747938484
15,9,-0.8324426408004217,-0.8324426408004217,Roof,1747938484
1,1,0.0,-0.4961057796456087,Kitchen,1747942084
2,5,0.0,-0.4961057796456087,Basement,1747942084
3,5,2.0352566059064983,-0.4961057796456087,Basement,1747942084
4,3,0.1329156289427005,-0.4961057796456087,Home Office,1747942084
5,1,0.1608583154639908,-0.4961057796456087,Kitchen,1747942084
6,6,0.8199050480304921,-0.4961057796456087,Wine Cellar,1747942084
7,4,0.0,-0.4961057796456087,Garage,1747942084
8,1,0.5668312795461915,-0.4961057796456087,Kitchen,1747942084
9,1,0.5956044789850821,-0.4961057796456087,Kitchen,1747942084
10,1,0.0,-0.4961057796456087,Kitchen,1747942084
11,8,0.3871918136081539,-0.4961057796456087,Barn,1747942084
12,7,0.0,-0.4961057796456087,Utility,1747942084
13,1,0.0,-0.4961057796456087,Kitchen,1747942084
14,2,0.2470120619321686,-0.4961057796456087,Living Room,1747942084
15,9,-0.4961057796456087,-0.4961057796456087,Roof,1747942084
1,1,1.9819970065671144,-1.8118910790805949,Kitchen,1747945684
2,5,0.0,-1.8118910790805949,Basement,1747945684
3,5,0.0,-1.8118910790805949,Basement,1747945684
4,3,0.250736103108598,-1.8118910790805949,Home Office,1747945684
5,1,0.1559855380034477,-1.8118910790805949,Kitchen,1747945684
